state_code,state,city,latitude,longitude
IN.38,Jharkhand,Dhanwār,24.41074,85.98183
IN.09,Gujarat,Dhanera,24.50967,72.02343
IN.09,Gujarat,Dhandhuka,22.38185,71.98664
IN.38,Jharkhand,Dhanbad,23.79759,86.42992
IN.36,Uttar Pradesh,Dhanaura,28.95912,78.25629
IN.23,Punjab,Dhanaula,30.28216,75.57341
IN.35,Madhya Pradesh,Dhāna,23.74697,78.86234
IN.37,Chhattisgarh,Dhamtari,20.70718,81.54874
IN.36,Uttar Pradesh,Dhāmpur,29.30883,78.51083
IN.35,Madhya Pradesh,Dhāmnod,22.20928,75.47057
IN.37,Chhattisgarh,Dhamda,21.45,81.31667
IN.25,Tamil Nadu,Dhali,10.51049,77.18806
IN.03,Assam,Dhakuākhanā,27.20114,94.45712
IN.34,Bihar,Dhāka,26.67479,85.16698
IN.35,Madhya Pradesh,Dewas,22.96585,76.05526
IN.36,Uttar Pradesh,Dewā,27.03621,81.16692
IN.16,Maharashtra,Devrukh,17.06715,73.61518
