state_code,state,city,latitude,longitude
IN.16,Maharashtra,Bārāmati,18.15174,74.57767
IN.28,West Bengal,Bārākpur,22.76602,88.36336
IN.36,Uttar Pradesh,Barāgaon,25.47554,78.71224
IN.36,Uttar Pradesh,Barāgaon,25.42936,82.81709
IN.28,West Bengal,Bara Bazar,22.56667,88.35
IN.02,Andhra Pradesh,Bāpatla,15.90422,80.46743
IN.24,Rajasthan,Bāonlī,26.32611,76.22829
IN.09,Gujarat,Bāola,22.82844,72.36364
IN.23,Punjab,Banūr,30.55407,76.71948
IN.19,Karnataka,Bantvāl,12.8905,75.03489
IN.09,Gujarat,Bāntva,21.48815,70.07576
IN.24,Rajasthan,Bānswāra,23.54109,74.4425
IN.40,Telangana,Bānswāda,18.37725,77.88007
IN.24,Rajasthan,Bānskhoh,26.83089,76.15205
IN.36,Uttar Pradesh,Bānsi,27.17749,82.93442
IN.36,Uttar Pradesh,Bānsgāon,26.55032,83.34503
IN.36,Uttar Pradesh,Bānsdīh,25.88377,84.21827
IN.28,West Bengal,Bānsbāria,22.95387,88.40098
IN.21,Odisha,Bānposh,22.24834,84.81044
IN.19,Karnataka,Bannūr,12.33295,76.86201
IN.34,Bihar,Banmankhi,25.88857,87.19421
IN.28,West Bengal,Bānkura,23.23241,87.0716
IN.21,Odisha,Bānki,20.37912,85.52953
IN.19,Karnataka,Bankāpur,14.92295,75.26221
IN.34,Bihar,Bānka,24.88091,86.92257
IN.11,Himachal Pradesh,Banjār,31.639,77.34055
IN.12,Jammu and Kashmir,Banihāl,33.43647,75.19684
IN.21,Odisha,Bangomunda,20.34302,82.91136
IN.36,Uttar Pradesh,Bāngarmau,26.8912,80.21149
IN.19,Karnataka,Bangarapet,12.99116,78.17804
IN.03,Assam,Bangaon,26.41667,91.33333
IN.34,Bihar,Bangaon,25.86728,86.51152
IN.28,West Bengal,Bangaon,23.04553,88.83084
IN.02,Andhra Pradesh,Banganapalle,15.31771,78.22669
IN.19,Karnataka,Bengaluru,12.97194,77.59369
IN.23,Punjab,Banga,31.18874,75.99495
IN.21,Odisha,Bonaigarh,21.82189,84.952
IN.33,Goa,Bandora,15.40823,73.98129
IN.12,Jammu and Kashmir,Bandipura,34.41728,74.64308
IN.24,Rajasthan,Bāndīkūi,27.05087,76.57325
IN.36,Uttar Pradesh,Bānda,25.47758,80.33491
IN.35,Madhya Pradesh,Banda,24.04488,78.96094
IN.16,Maharashtra,Banda,15.81181,73.86118
IN.19,Karnataka,Bānāvar,13.41029,76.16314
IN.36,Uttar Pradesh,Banat,29.46355,77.35478
IN.21,Odisha,Bānapur,19.77889,85.17033
IN.35,Madhya Pradesh,Bāmor Kalān,24.89298,78.15105
IN.35,Madhya Pradesh,Bamora,24.05539,78.08925
IN.35,Madhya Pradesh,Bamna,23.09454,74.76164
IN.35,Madhya Pradesh,Bamhnī,22.48221,80.37157
IN.01,Andaman and Nicobar,Bamboo Flat,11.7,92.71667
IN.33,Goa,Bambolim,15.46361,73.8531
IN.35,Madhya Pradesh,Bāmaur,26.33895,78.10104
IN.13,Kerala,Balussheri,11.44738,75.82944
IN.28,West Bengal,Bālurghāt,25.22099,88.77732
IN.21,Odisha,Bālugaon,20.17838,85.11327
IN.21,Odisha,Bālugān,19.73333,85.21667
IN.36,Uttar Pradesh,Balrāmpur,27.42949,82.18545
IN.24,Rajasthan,Balotra,25.83242,72.24
IN.37,Chhattisgarh,Baloda Bāzār,21.65678,82.16062
IN.37,Chhattisgarh,Baloda,22.1389,82.48171
IN.37,Chhattisgarh,Balod,20.73081,81.20578
IN.28,West Bengal,Bāli,22.64859,88.34115
IN.34,Bihar,Ballia,25.42139,86.31445
IN.16,Maharashtra,Ballarpur,19.84696,79.34578
IN.21,Odisha,Balimila,18.25167,82.10659
IN.21,Odisha,Baliguda,20.19966,83.90938
IN.28,West Bengal,Bāli Chak,22.36482,87.55304
IN.24,Rajasthan,Bāli,25.19725,73.29117
IN.21,Odisha,Balasore,21.49266,86.93348
IN.35,Madhya Pradesh,Baldeogarh,24.75619,79.06715
IN.36,Uttar Pradesh,Baldev,27.40684,77.82214
IN.28,West Bengal,Balarāmpur,23.09714,86.22292
